================================================================================
일일 결과 리포트 - BIM 적용
생성 시간: 2025-12-23 12:50:40
================================================================================

최종 결과:
  총 지연: 0.0일
  총 비용 증가: 0.00%
  총 처리 이슈: 54개

일별 상세:
Day    이슈     지연(일)        비용(%)       
--------------------------------------------------------------------------------
1      1      2.46         0.9485      
5      1      4.20         1.5200      
10     1      1.05         0.6400      
11     2      4.20         2.0000      
14     1      6.30         2.2400      
15     1      3.15         1.2000      
16     1      1.05         0.4800      
19     1      4.20         1.9200      
24     1      2.10         0.9600      
28     1      1.05         0.7200      
39     1      2.10         0.9600      
47     1      6.30         2.0800      
55     1      2.10         0.8000      
69     1      3.15         1.2800      
93     1      2.10         1.0400      
100    1      3.01         1.4607      
105    1      2.94         1.4257      
106    2      5.25         3.4400      
109    1      3.15         1.9200      
113    1      3.15         1.8400      
114    1      3.15         1.8400      
122    1      4.20         1.6000      
124    1      3.15         1.3600      
130    1      2.10         0.9600      
131    1      2.10         1.1200      
136    1      3.15         1.5200      
142    1      4.20         2.7200      
145    1      2.10         0.8800      
157    1      2.90         1.5340      
159    1      7.35         4.3200      
162    1      8.40         5.0400      
174    1      6.09         2.2626      
178    1      2.10         1.0400      
180    1      2.10         1.0400      
199    1      5.25         2.9600      
215    2      5.77         2.0532      
216    1      1.05         0.7200      
219    1      3.15         1.6000      
223    1      5.25         3.4400      
234    1      2.10         1.0400      
242    1      2.10         0.8000      
248    1      2.10         0.8000      
255    1      2.53         0.4196      
262    1      1.05         0.5600      
271    1      2.10         1.1200      
277    1      2.10         1.3600      
279    1      2.10         0.9600      
282    1      2.10         1.1200      
316    1      2.10         1.1200      
332    1      2.10         1.0400      
339    1      2.10         1.2800      
